syllable,start_frame,duration_frames
3,60406,5
3,60412,4
0,60416,6
14,60427,13
0,60440,46
1,60486,4
5,60490,32
1,60522,5
14,60588,3
14,60592,3
14,60639,13
0,60652,83
1,60735,19
18,60771,3
0,60774,44
5,60818,34
5,60853,17
14,60870,23
5,60893,16
0,60909,3
5,60912,22
0,60934,11
2,60945,36
0,60981,11
1,60992,12
13,61004,10
0,61014,8
1,61022,12
2,61034,10
1,61044,7
14,61051,29
14,61086,17
14,61106,15
5,61121,22
1,61143,9
3,61152,3
3,61156,10
10,61166,16
10,61189,15
1,61204,33
2,61237,77
7,61314,7
2,61321,26
1,61347,14
5,61361,33
1,61394,4
5,61398,144
14,61542,17
0,61559,21
1,61580,9
0,61590,32
5,61622,46
1,61668,5
14,61673,10
5,61683,22
5,61707,24
11,61731,8
11,61743,10
0,61753,18
7,61771,53
2,61824,16
1,61840,7
9,61847,21
1,61868,17
10,61885,32
2,61917,88
9,62005,112
7,62117,24
2,62141,13
9,62154,28
5,62182,34
0,62216,27
1,62243,6
5,62249,7
7,62256,137
2,62393,11
1,62404,9
2,62413,13
7,62426,38
1,62464,28
9,62492,11
1,62503,16
9,62519,35
5,62554,134
14,62688,58
1,62746,13
7,62761,8
2,62778,26
10,62804,57
1,62861,4
3,63001,8
17,63009,58
2,63067,15
1,63082,4
0,63086,63
1,63149,12
5,63161,45
0,63206,105
5,63311,18
12,63329,16
2,63345,21
2,63369,13
2,63385,10
1,63395,10
10,63405,22
0,63427,9
5,63436,68
1,63504,5
10,63509,176
1,63685,15
12,63700,37
2,63737,36
10,63773,48
1,63821,6
2,63827,12
1,63839,4
2,63843,45
7,63888,19
2,63907,54
10,63961,199
2,64160,66
0,64226,88
7,64314,11
7,64333,6
7,64341,65
2,64406,38
2,64445,6
2,64456,55
25,64511,40
11,64551,55
2,64606,42
10,64648,27
2,64675,38
18,64713,5
0,64718,14
1,64732,13
2,64745,94
7,64839,24
2,64863,32
7,64895,9
2,64904,228
7,65132,12
2,65144,54
25,65198,73
25,65278,145
2,65423,186
10,65609,165
10,65778,10
10,65792,3
10,65801,37
10,65843,35
2,65878,21
2,65908,30
10,65986,2
10,65993,6
10,66002,25
7,66027,127
9,66154,53
7,66207,46
12,66253,15
2,66268,93
1,66361,7
0,66368,18
0,66389,24
2,66421,14
2,66437,16
0,66453,29
6,66484,3
0,66487,43
12,66530,52
1,66582,15
0,66597,23
5,66620,30
0,66650,11
5,66661,18
1,66679,4
5,66683,28
0,66711,69
5,66780,21
1,66801,4
0,66805,143
1,66948,8
16,66956,68
5,67024,46
16,67070,49
2,67119,135
18,67254,8
0,67262,116
2,67378,40
1,67418,7
2,67425,81
12,67506,3
12,67513,64
12,67583,8
12,67623,3
2,67666,17
1,67702,14
1,67721,9
9,67735,3
9,67747,31
11,67778,18
12,67796,104
12,67901,81
3,67982,5
7,67987,18
1,68005,14
14,68020,44
3,68065,3
2,68089,34
1,68172,9
2,68181,51
7,68232,58
3,68291,14
0,68308,69
2,68377,35
16,68412,77
16,68491,5
5,68496,42
12,68538,66
12,68611,86
0,68706,11
1,68717,11
1,68730,3
9,68733,29
9,68764,8
12,68776,139
1,68915,4
3,68925,4
3,68930,6
1,68936,16
0,68952,12
1,68964,71
0,69039,10
3,69049,8
0,69057,13
1,69070,59
2,69129,4
2,69134,33
11,69167,9
2,69176,188
10,69364,34
2,69398,64
26,69462,7
0,69469,31
18,69500,15
0,69515,8
5,69523,100
1,69623,11
11,69634,74
0,69708,128
5,69836,16
0,69852,33
1,69885,23
0,69908,3
3,69911,4
0,69915,6
1,69921,19
12,69940,54
12,70001,34
0,70035,37
1,70072,13
16,70085,15
11,70100,20
0,70120,3
2,70123,7
12,70130,34
3,70164,3
0,70167,22
6,70189,3
0,70192,23
1,70215,7
0,70222,53
1,70275,20
9,70295,35
12,70330,38
1,70368,5
2,70373,22
12,70395,40
2,70435,62
12,70497,12
2,70509,49
1,70558,4
5,70562,14
1,70576,8
0,70584,4
0,70589,13
99,70602,23
7,70625,46
3,70671,6
1,70680,40
1,70721,4
11,70725,6
11,70733,15
2,70748,21
1,70769,28
11,70797,6
11,70812,3
11,70821,6
12,70827,15
12,70843,3
9,71001,5
9,71018,5
1,71051,7
0,71070,4
3,71088,10
1,71098,15
17,71113,24
17,71160,40
10,71200,100
1,71300,40
1,71341,29
9,71370,26
1,71401,21
1,71424,5
12,71429,34
1,71463,11
9,71474,36
9,71521,21
9,71544,25
1,71569,6
9,71575,153
7,71728,21
9,71749,102
9,71855,19
7,71874,21
9,71895,133
12,72028,39
2,72067,59
7,72126,52
9,72178,247
1,72425,10
1,72439,23
1,72467,12
10,72479,28
11,72507,14
13,72521,11
99,72533,2
0,72563,3
10,72587,22
10,72614,87
10,72709,25
11,72734,18
11,72757,6
7,72764,22
7,72800,3
3,72803,15
0,72818,9
1,72827,8
99,72835,23
7,72858,21
2,72879,24
2,72906,21
0,72927,56
1,72983,18
0,73001,38
1,73039,20
2,73059,32
12,73091,167
0,73258,7
1,73265,15
0,73280,14
99,73295,4
